run,enemy,generation,max.fitness,mean.fitness,median.fitness,min.fitness,std.fitness,mutation_p_individual,mutation_p_genome,mutation_sigma,elites,phase
28/09/2024 09:49:52,4,1,39.296,8.63,3.95,-6.129,12.177,0.5,0.5,0.35,5,-
28/09/2024 09:49:52,4,2,56.66,15.487,16.865,-5.617,10.878,0.5,0.5,0.35,5,-
28/09/2024 09:49:52,4,3,83.824,21.204,21.413,-5.717,13.049,0.5,0.5,0.35,5,-
28/09/2024 09:49:52,4,4,85.769,24.261,21.62,3.019,16.303,0.5,0.5,0.35,5,-
28/09/2024 09:49:52,4,5,85.769,27.335,21.62,3.019,19.117,0.5,0.5,0.35,5,-
28/09/2024 09:49:52,4,6,86.72,31.12,21.861,-5.429,20.831,0.5,0.5,0.35,5,-
28/09/2024 09:49:52,4,7,87.685,32.368,21.873,2.707,21.918,0.5,0.5,0.35,5,-
28/09/2024 09:49:52,4,8,87.685,37.906,29.989,-5.371,25.227,0.5,0.5,0.35,5,-
28/09/2024 09:49:52,4,9,88.511,43.216,38.455,2.822,25.75,0.5,0.5,0.35,5,-
28/09/2024 09:49:52,4,10,89.181,50.467,51.982,3.131,25.536,0.5,0.5,0.35,5,-
28/09/2024 09:49:52,4,11,89.983,52.958,55.881,3.267,26.335,0.5,0.5,0.35,5,-
28/09/2024 09:49:52,4,12,89.983,56.991,64.946,2.816,26.125,0.5,0.5,0.35,5,-
28/09/2024 09:49:52,4,13,89.983,57.879,65.057,2.828,26.192,0.5,0.5,0.35,5,-
28/09/2024 09:49:52,4,14,89.983,63.079,65.338,3.07,26.049,0.5,0.5,0.35,5,-
28/09/2024 09:49:52,4,15,89.983,64.393,69.534,1.857,25.292,0.5,0.5,0.35,5,-
28/09/2024 09:49:52,4,16,89.983,70.598,83.529,3.042,22.369,0.5,0.5,0.35,5,-
28/09/2024 09:49:52,4,17,89.983,69.315,83.859,2.011,26.389,0.5,0.5,0.35,5,-
28/09/2024 09:49:52,4,18,89.983,68.702,83.907,2.779,25.637,0.5,0.5,0.35,5,-
28/09/2024 09:49:52,4,19,89.983,70.396,84.333,2.764,23.16,0.5,0.5,0.35,5,-
28/09/2024 09:49:52,4,20,89.983,70.889,84.78,2.721,25.923,0.5,0.5,0.35,5,-
28/09/2024 09:49:52,4,21,89.983,71.208,85.189,2.764,25.657,0.5,0.5,0.35,5,-
28/09/2024 09:49:52,4,22,89.983,72.063,85.749,-6.096,26.768,0.5,0.5,0.35,5,-
28/09/2024 09:49:52,4,23,90.403,75.738,85.707,2.011,22.919,0.5,0.5,0.35,5,-
28/09/2024 09:49:52,4,24,90.403,78.957,87.16,-6.066,20.056,0.5,0.5,0.35,5,-
28/09/2024 09:49:52,4,25,90.403,81.205,87.714,3.183,18.16,0.5,0.5,0.35,5,-
28/09/2024 09:49:52,4,26,90.403,83.333,88.058,11.089,15.511,0.5,0.5,0.35,5,-
28/09/2024 09:49:52,4,27,90.403,83.971,87.893,-5.823,14.528,0.5,0.5,0.35,5,-
28/09/2024 09:49:52,4,28,90.403,84.467,88.03,2.419,14.62,0.5,0.5,0.35,5,-
28/09/2024 09:49:52,4,29,90.403,82.273,88.032,-6.306,19.024,0.5,0.5,0.35,5,-
28/09/2024 09:49:52,4,30,90.403,83.104,87.987,-6.641,18.604,0.5,0.5,0.35,5,-
28/09/2024 09:51:11,4,30,39.369,0.896,-5.099,-7.27,11.445,0.5,0.5,0.35,5,-
28/09/2024 09:51:11,4,1,39.369,11.077,11.816,-5.412,11.374,0.5,0.5,0.35,5,-
