run,enemy,generation,fitness,mean.fitness,std.fitness
25/09/2024 13:18:47,3,1,56.742,8.48,17.256
25/09/2024 13:18:47,3,2,74.783,23.972,17.381
25/09/2024 13:18:47,3,3,65.74,25.095,14.985
25/09/2024 13:18:47,3,4,56.867,31.604,17.14
25/09/2024 13:18:47,3,5,86.591,41.377,20.821
25/09/2024 13:18:47,3,6,74.74,52.205,13.347
25/09/2024 13:18:47,3,7,74.74,52.958,11.723
25/09/2024 13:18:47,3,8,65.81,53.835,10.213
25/09/2024 13:18:47,3,9,56.867,52.561,10.542
25/09/2024 13:18:47,3,10,56.867,54.397,8.422
25/09/2024 13:18:47,3,11,56.867,56.145,2.248
25/09/2024 13:18:47,3,12,74.748,54.407,9.285
25/09/2024 13:18:47,3,13,74.748,56.445,5.429
25/09/2024 13:18:47,3,14,74.771,57.061,7.103
25/09/2024 13:18:47,3,15,74.771,57.342,3.984
25/09/2024 13:18:47,3,16,74.771,57.342,3.984
25/09/2024 13:18:47,3,17,56.756,55.267,5.136
25/09/2024 13:18:47,3,18,56.756,55.266,5.136
25/09/2024 13:18:47,3,19,56.756,55.567,4.947
25/09/2024 13:18:47,3,20,56.756,56.447,1.593
25/09/2024 13:18:57,3,0,38.739,0.239,11.558
25/09/2024 13:18:57,3,1,65.748,12.53,20.379
25/09/2024 13:18:57,3,2,74.742,33.481,20.483
25/09/2024 13:18:57,3,3,65.748,43.599,17.579
25/09/2024 13:18:57,3,4,84.325,52.697,15.13
25/09/2024 13:18:57,3,5,85.012,54.49,18.341
25/09/2024 13:18:57,3,6,85.991,57.168,12.624
25/09/2024 13:18:57,3,7,87.619,61.252,11.167
25/09/2024 13:18:57,3,8,88.193,60.282,8.511
25/09/2024 13:18:57,3,9,85.991,56.246,12.366
25/09/2024 13:18:57,3,10,85.991,53.573,15.009
25/09/2024 13:18:57,3,11,85.991,53.292,12.274
25/09/2024 13:18:57,3,12,85.991,52.138,16.145
25/09/2024 13:18:57,3,13,85.991,58.043,8.102
25/09/2024 13:18:57,3,14,85.991,55.739,16.049
25/09/2024 13:18:57,3,15,86.014,60.047,14.458
25/09/2024 13:18:57,3,16,86.014,57.956,16.113
25/09/2024 13:18:57,3,17,86.591,58.399,17.773
25/09/2024 13:18:57,3,18,86.591,57.524,17.678
25/09/2024 13:18:57,3,19,90.9,61.198,12.496
25/09/2024 13:18:57,3,20,85.991,60.219,9.029
25/09/2024 13:19:07,3,0,48.177,0.97,13.677
25/09/2024 13:19:07,3,1,48.177,11.922,14.332
25/09/2024 13:19:07,3,2,85.243,26.565,22.059
25/09/2024 13:19:07,3,3,85.243,30.738,23.294
